분석 시간 : 2026-05-13 08:50:30 (Execution time: 574.70 seconds)

예측별 신호 횟수:
전환예측: 강한상승: 0, 상승: 1, 하락: 38, 강한하락: 0
초단기예측: 강한상승: 0, 상승: 4, 하락: 46, 강한하락: 0
이격도예측: 강한상승: 0, 상승: 1, 하락: 13, 강한하락: 0
단기예측: 강한상승: 0, 상승: 4, 하락: 3, 강한하락: 0

최근 3일 기준 종목별 신호
 - 삼양사우(145995) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.98
 - 샘표식품(248170) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.25
 - 솔루스첨단소재(336370) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.8
 - 솔루스첨단소재1우(33637K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.48
 - 시프트업(462870) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 93.9
 - 신한알파리츠(293940) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 94.07
 - 애경케미칼(161000) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.03
 - 유니드비티플러스(446070) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 93.56
 - 제일약품(271980) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.32
 - 조선내화(462520) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 98.8
 - 진양홀딩스(100250) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.39
 - 코람코더원리츠(417310) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 98.58
 - 코스맥스(192820) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 101.11
 - 크라운제과우(26490K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 98.51
 - 티와이홀딩스우(36328K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.38
 - 한세실업(105630) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 90.97
 - 한일시멘트(300720) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.72
 - 한전산업(130660) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.44
 - 한화갤러리아우(45226K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.08
 - 현대코퍼레이션홀딩스(227840) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.46
 - 엘브이엠씨홀딩스(900140) 강한상승: 0, 상승: 0, 하락: 2, 강한하락: 0, 이격도: 94.64
